model,accuracy,precision,recall,f1_score
Logistic Regression,0.8905,0.8904995730623257,0.8905,0.890499777623361
Naive Bayes,0.8797,0.8796968545976251,0.8797,0.8796977144854662
SVM,0.8911,0.8910995755113447,0.8911,0.891099778841863
